domain,query_count,candidate_count,disputed_candidate_count,candidate_rate,sampled_count,disputed_sampled_count,sampled_rate,sampled_seed_mean,sampled_seed_std
art,10000,38714337266,2507478,6.476871818240154e-05,830625,33724,0.0406007524454477,0.0406007524454477,0.0004253152882632935
award,10000,135799786,3065559,0.022574107738284655,1687900,138808,0.08223709935422714,0.08223709935422714,0.00025645891540742064
edu,10000,71175440,415328,0.00583527126772943,879255,82006,0.09326759586240624,0.09326759586240624,0.001250887232090939
health,10000,3777309314,2054217,0.0005438307613269502,1461960,70870,0.04847601849571808,0.04847601849571808,0.00035180164938669703
infra,10000,601306396,982288,0.00163358980801528,930080,58796,0.06321606743505935,0.06321606743505935,0.0005692776915809075
loc,4000,463331310540,17906690,3.864770109995425e-05,584900,13575,0.02320909557189263,0.02320909557189263,0.0006479661182383726
org,4000,14333894,372559,0.025991471682433258,709135,82787,0.11674363837633173,0.11674363837633173,0.0009008070186805945
people,10000,2614898998,1648989,0.0006306128845745958,740900,14992,0.020234849507355917,0.020234849507355917,0.0002109717760359071
sci,10000,1975151342,1284678,0.000650420032471618,814774,54899,0.06737942055097487,0.06737942043237884,0.0005442694476058521
sport,4000,242224837266,10845973,4.477646934318903e-05,666885,7922,0.011879109591608749,0.011879109591608749,0.0002814626557815541
tax,8000,119115951614,1842352,1.546687891114882e-05,850300,27738,0.03262142773138892,0.03262142773138892,0.00044865014851238943
