domain,query_count,candidate_pool_size,disputed_candidate_count,candidate_conflict_rate,sampled_negative_count,disputed_sampled_negative_count,sampled_conflict_rate,queries_with_candidate_conflict,queries_with_candidate_conflict_rate,queries_with_sampled_conflict_any_seed,queries_with_sampled_conflict_any_seed_rate
art,10000,38714337266,2507478,6.476871818240154e-05,830625,33724,0.0406007524454477,9902,0.9902,5293,0.5293
award,10000,135799786,3065559,0.022574107738284655,1687900,138808,0.08223709935422714,9999,0.9999,8762,0.8762
edu,10000,71175440,415328,0.00583527126772943,879255,82006,0.09326759586240624,9956,0.9956,7327,0.7327
health,10000,3777309314,2054217,0.0005438307613269502,1461960,70870,0.04847601849571808,9980,0.998,7177,0.7177
infra,10000,601306396,982288,0.00163358980801528,930080,58796,0.06321606743505935,9925,0.9925,7359,0.7359
loc,4000,463331310540,17906690,3.864770109995425e-05,584900,13575,0.02320909557189263,3929,0.98225,2512,0.628
org,4000,14333894,372559,0.025991471682433258,709135,82787,0.11674363837633173,3987,0.99675,2869,0.71725
people,10000,2614898998,1648989,0.0006306128845745958,740900,14992,0.020234849507355917,9292,0.9292,4048,0.4048
sci,10000,1975151342,1284678,0.000650420032471618,814774,54899,0.06737942055097487,9960,0.996,6657,0.6657
sport,4000,242224837266,10845973,4.477646934318903e-05,666885,7922,0.011879109591608749,3876,0.969,1564,0.391
tax,8000,119115951614,1842352,1.546687891114882e-05,850300,27738,0.03262142773138892,7964,0.9955,3828,0.4785
