dataset,reference,comparison,metric,difference,ci_low,ci_high
art,baseline_lambda_1,dataset_specific_lambda_star,answer_reach_10,0.024699599465954607,0.01922563417890521,0.030307076101468627
art,matched_random_at_lambda_star,dataset_specific_lambda_star,answer_reach_10,0.020293724966622163,0.015487316421895863,0.02523364485981308
art,baseline_lambda_1,mask_endpoint_lambda_0,answer_reach_10,0.024699599465954607,0.01922563417890521,0.030307076101468627
art,baseline_lambda_1,all_shortest_positive,answer_reach_10,0.02309746328437917,0.017623497997329773,0.02857142857142857
art,baseline_lambda_1,dataset_specific_lambda_star,selected_mrr,0.0011570983533600353,-0.0008681019136626591,0.0031708945260347124
art,matched_random_at_lambda_star,dataset_specific_lambda_star,selected_mrr,0.000689808633733867,-0.0011570983533600353,0.002547841566533155
art,baseline_lambda_1,mask_endpoint_lambda_0,selected_mrr,0.0011570983533600353,-0.0008681019136626591,0.0031708945260347124
art,baseline_lambda_1,all_shortest_positive,selected_mrr,-0.0012461059190031149,-0.0032599020916777924,0.000734312416555407
art,baseline_lambda_1,dataset_specific_lambda_star,selected_pr_auc,-2.713388907300182e-05,-0.0012166006027714634,0.0011740844356526914
art,matched_random_at_lambda_star,dataset_specific_lambda_star,selected_pr_auc,0.000949494069813896,-0.0001501327376692572,0.002052337394592493
art,baseline_lambda_1,mask_endpoint_lambda_0,selected_pr_auc,-2.713388907300182e-05,-0.0012166006027714634,0.0011740844356526914
art,baseline_lambda_1,all_shortest_positive,selected_pr_auc,-0.0016233359665678954,-0.0028108938061828493,-0.00046451173634414654
art,baseline_lambda_1,dataset_specific_lambda_star,all_shortest_mrr,0.0018469069870939026,0.00024477080551846926,0.0034490431686693365
art,matched_random_at_lambda_star,dataset_specific_lambda_star,all_shortest_mrr,0.0013239875389408097,-7.78816199376945e-05,0.002703604806408544
art,baseline_lambda_1,mask_endpoint_lambda_0,all_shortest_mrr,0.0018469069870939026,0.00024477080551846926,0.0034490431686693365
art,baseline_lambda_1,all_shortest_positive,all_shortest_mrr,0.0012683578104138848,-0.0002898308856252733,0.0028482421005785485
art,baseline_lambda_1,dataset_specific_lambda_star,all_shortest_pr_auc,0.0012509895390714761,0.00024309103913976748,0.0022589559004345798
art,matched_random_at_lambda_star,dataset_specific_lambda_star,all_shortest_pr_auc,0.0019647954992456384,0.0010081953293974886,0.0029261952812662524
art,baseline_lambda_1,mask_endpoint_lambda_0,all_shortest_pr_auc,0.0012509895390714761,0.00024309103913976748,0.0022589559004345798
art,baseline_lambda_1,all_shortest_positive,all_shortest_pr_auc,0.0006334023857829191,-0.0003475105874304364,0.001626645110290301
award,baseline_lambda_1,dataset_specific_lambda_star,answer_reach_10,0.144,0.132,0.15626666666666666
award,matched_random_at_lambda_star,dataset_specific_lambda_star,answer_reach_10,0.12999999999999998,0.11826666666666667,0.14173333333333332
award,baseline_lambda_1,mask_endpoint_lambda_0,answer_reach_10,0.144,0.132,0.15626666666666666
award,baseline_lambda_1,all_shortest_positive,answer_reach_10,0.16826666666666668,0.1548,0.18213666666666664
award,baseline_lambda_1,dataset_specific_lambda_star,selected_mrr,-0.00781111111111111,-0.010549055555555553,-0.0051155555555555555
award,matched_random_at_lambda_star,dataset_specific_lambda_star,selected_mrr,-0.006862222222222222,-0.009555555555555555,-0.004244444444444444
award,baseline_lambda_1,mask_endpoint_lambda_0,selected_mrr,-0.00781111111111111,-0.010549055555555553,-0.0051155555555555555
award,baseline_lambda_1,all_shortest_positive,selected_mrr,-0.009838888888888887,-0.01287222222222222,-0.006816666666666666
award,baseline_lambda_1,dataset_specific_lambda_star,selected_pr_auc,-0.00965361370458531,-0.011036395465908663,-0.008258192848521601
award,matched_random_at_lambda_star,dataset_specific_lambda_star,selected_pr_auc,-0.009478306330596683,-0.010811532556051428,-0.008172674206158246
award,baseline_lambda_1,mask_endpoint_lambda_0,selected_pr_auc,-0.00965361370458531,-0.011036395465908663,-0.008258192848521601
award,baseline_lambda_1,all_shortest_positive,selected_pr_auc,-0.014779341725717762,-0.016395961507820304,-0.013220284427185999
award,baseline_lambda_1,dataset_specific_lambda_star,all_shortest_mrr,0.0014488888888888887,0.00023988888888888958,0.0026977777777777772
award,matched_random_at_lambda_star,dataset_specific_lambda_star,all_shortest_mrr,0.001315555555555555,7.555555555555553e-05,0.0025555555555555553
award,baseline_lambda_1,mask_endpoint_lambda_0,all_shortest_mrr,0.0014488888888888887,0.00023988888888888958,0.0026977777777777772
