dataset,selected_lambda,sampled_conflict_rate,baseline_answer_reach_10_mean,baseline_answer_reach_10_std,tuned_answer_reach_10_mean,tuned_answer_reach_10_std,tuned_minus_baseline_answer_reach_10,random_answer_reach_10_mean,mask_answer_reach_10_mean,all_positive_answer_reach_10_mean,baseline_selected_pr_auc_mean,tuned_selected_pr_auc_mean,tuned_minus_baseline_selected_pr_auc
art,0.0,0.0406007524454477,0.856475300400534,0.007388499206000852,0.8811748998664887,0.006315383153679725,0.02469959946595468,0.8608811748998665,0.8811748998664887,0.8795727636849132,0.9641377880922667,0.9641106542031938,-2.71338890729389e-05
award,0.0,0.08223709935422714,0.7958666666666667,0.01440987315851339,0.9398666666666666,0.007247988226627639,0.1439999999999999,0.8098666666666666,0.9398666666666666,0.9641333333333333,0.9673701615312001,0.9577165478266149,-0.009653613704585284
edu,0.0,0.09326759586240624,0.8451569806279225,0.006500596192760375,0.912625250501002,0.003515750799449757,0.06746826987307941,0.8467601870407482,0.912625250501002,0.9246492985971944,0.9596088373134615,0.9473914347215587,-0.012217402591902737
health,0.0,0.04847601849571808,0.7648,0.0058195074247453845,0.8046666666666666,0.006091888960832352,0.039866666666666606,0.76,0.8046666666666666,0.8218666666666666,0.973932025148747,0.9679158094476839,-0.006016215701063143
infra,0.0,0.06321606743505935,0.9114076050700467,0.007344287628831428,0.9263509006004003,0.004234975383083107,0.014943295530353562,0.9124749833222148,0.9263509006004003,0.9295530353569046,0.9556563017484971,0.953098650532052,-0.0025576512164451337
loc,0.0,0.02320909557189263,0.9916666666666667,0.002041241452319317,0.9916666666666667,0.002357022603955154,0.0,0.992,0.9916666666666667,0.9923333333333333,0.9932345372260075,0.9924686008194693,-0.0007659364065382146
org,0.0,0.11674363837633173,0.5853088480801335,0.023419937117529453,0.9803005008347245,0.004479601958263334,0.394991652754591,0.5786310517529215,0.9803005008347245,0.9863105175292154,0.9701582094380311,0.9418690040251468,-0.028289205412884266
people,0.0,0.020234849507355917,0.9440107671601615,0.005598017319807652,0.9510094212651413,0.005475328561724912,0.006998654104979796,0.9460296096904441,0.9510094212651413,0.9489905787348587,0.9622344075159425,0.9619339770529048,-0.00030043046303762644
sci,0.0,0.06737942055097487,0.8406666666666667,0.005617433182117596,0.8836,0.007797435475847178,0.04293333333333338,0.8481333333333333,0.8836,0.8910666666666667,0.9592645967274476,0.9558660404801884,-0.0033985562472591546
sport,0.0,0.011879109591608749,0.9756666666666667,0.00383695481107381,0.9836666666666667,0.003800584750330421,0.008000000000000007,0.9786666666666667,0.9836666666666667,0.9823333333333334,0.9877637882936057,0.9880603019277115,0.00029651363410587717
tax,0.1,0.03262142773138892,0.8516666666666667,0.012402396721781018,0.8654999999999999,0.012850637684134168,0.013833333333333253,0.8556666666666667,0.87,0.8806666666666667,0.9713783831721731,0.9713156325033127,-6.275066886041181e-05
