dataset,best_lambda,lambda_0,lambda_0.1,lambda_0.25,lambda_0.5,lambda_0.75,lambda_1
art,0.0,0.8908483633934535,0.8868403473613895,0.8822979291917168,0.878557114228457,0.8757515030060119,0.8708082832331329
award,0.0,0.9362666666666668,0.9105333333333334,0.8789333333333333,0.8537333333333332,0.8217333333333332,0.8057333333333334
edu,0.0,0.9119999999999999,0.8841333333333333,0.8587999999999999,0.8462666666666667,0.8405333333333334,0.8349333333333334
health,0.0,0.8013333333333333,0.7965333333333333,0.788,0.7741333333333333,0.7698666666666666,0.7614666666666666
infra,0.0,0.9363575717144762,0.9338225483655771,0.9312875250166778,0.9291527685123416,0.9268845897264842,0.9255503669112741
loc,0.0,0.9956521739130435,0.9949832775919732,0.9939799331103678,0.9933110367892976,0.9936454849498327,0.994314381270903
org,0.0,0.9846666666666668,0.8503333333333334,0.7123333333333333,0.6333333333333333,0.5976666666666667,0.5853333333333334
people,0.0,0.9547651006711408,0.9538255033557046,0.9527516778523489,0.9515436241610737,0.9518120805369128,0.9510067114093961
sci,0.0,0.8823215476984657,0.8749833222148098,0.8663108739159441,0.857371581054036,0.8539026017344897,0.8513675783855904
sport,0.0,0.9849498327759199,0.9812709030100335,0.9779264214046822,0.977257525083612,0.9752508361204013,0.9749163879598661
tax,0.1,0.869,0.8755000000000001,0.8720000000000001,0.8691666666666666,0.8656666666666666,0.8583333333333334
